Model,R2_Score,MAE,MSE,CV_R2_Mean,CV_R2_Std
Linear Regression,-0.9975024240924779,21.373560167838583,740.7725255356805,-725980.4994450225,1451957.8793920665
Ridge Regression,0.878650058281189,5.583748898614988,45.00255004270747,0.8814306189477523,0.02184343368709894
Lasso Regression,0.86831962565488,5.7755692125833535,48.83358452565382,0.889291988941378,0.02673480617041453
Random Forest,0.8920059687465959,4.551719869482369,40.04951899405539,0.8911680221201962,0.03909596093070511
Gradient Boosting,0.8763397151758657,4.603925073073426,45.859339339352175,0.8910381197381273,0.04304989428339705
XGBoost,0.8942044732504528,4.377447509765625,39.234204972865335,0.9141436483962858,0.03192945567824933
