Model,Feature_Name,Importance,Rank
Random Forest,Age,0.00045304888704077216,68
Random Forest,SBP on Admission,0.002638271453498831,10
Random Forest,Unassisted Resp Rate on Admission,0.0005830918695959472,50
Random Forest,GCS on Admission,0.035077676372725755,2
Random Forest,RTS on Admission,0.0008725268884418535,28
Random Forest,TRISS,0.825053066908222,1
Random Forest,Advanced_Risk_Score,0.024024453906826428,3
Random Forest,Age_Squared,0.000614346567745637,47
Random Forest,Age_Log,0.0004474922220090829,69
Random Forest,Age_Cubic,0.00037027041771544835,78
Random Forest,BP_HR_Ratio,0.0027160095708814117,9
Random Forest,GCS_Age_Ratio,0.01629129847944104,4
Random Forest,RTS_TRISS_Ratio,0.0008880833474712431,24
Random Forest,text_length,0.0008813424135805055,27
Random Forest,word_count,0.0004827855241374561,64
Random Forest,keyword_count,3.688711125613642e-05,190
Random Forest,keyword_density,0.00019005094630051227,132
Random Forest,sentence_count,4.4730480429726316e-05,181
Random Forest,avg_word_length,0.0005248055321921757,57
Random Forest,unique_word_ratio,0.00010620000095265395,150
Random Forest,bigram_count,0.0005225521740182807,58
Random Forest,trigram_count,0.0003098558630447293,91
Random Forest,text_risk_score,0.000420632788798678,70
Random Forest,severe_injury_flag,0.0029544378669126444,8
Random Forest,penetrating_injury_flag,0.005786171871084363,7
Random Forest,elderly_flag,7.682700461225577e-05,165
Random Forest,critical_gcs,6.252472262350667e-05,174
Random Forest,hypotensive,0.00023903648440695965,111
Random Forest,tachypneic,0.0,276
Random Forest,bradypneic,0.0,276
Random Forest,Gender,9.86851551401588e-05,152
Random Forest,Injury Type,0.007349255950293516,5
Random Forest,Transfer In,6.609099606515505e-05,173
Random Forest,Discharge Status,0.007027127105268549,6
Random Forest,Age_Group,7.397416774841552e-05,167
Random Forest,BP_Status,0.00018465352545185722,133
Random Forest,GCS_Status,0.0002354039197163957,112
Random Forest,tfidf_0,9.550331117853799e-05,155
Random Forest,tfidf_1,3.88157886969267e-05,188
