Model,WER,MER,WIL,Substitutions,Deletions,Insertions,Hits,Total_Words_in_Reference,Total_Files_Matched
large-v3,0.4954954954954955,0.4443027210884354,0.6150282511849452,554,248,243,1307,2109,9
parakeet-tdt-0.6b-v2,0.7354196301564723,0.691793041926851,0.8612735219739864,808,610,133,691,2109,9
canary-1b,0.8155523944997629,0.7688869021010282,0.9229091750221217,999,593,128,517,2109,9
wav2vec-xls-r,0.9231863442389758,0.8790067720090293,0.9836111883120646,1704,137,106,268,2109,9
