Model,Files_Processed,Average_WER,Min_WER,Max_WER
wav2vec-xls-r,25,0.9988345907581455,0.8679245283018868,1.1923076923076923
canary-1b,25,0.9908095312483257,0.5548780487804879,2.8857142857142857
large-v3,25,0.7119978849698226,0.2682926829268293,1.1
parakeet-tdt-0.6b-v2,25,0.8535217341123785,0.5689655172413793,1.1346153846153846
