Model,WER,MER,WIL,Substitutions,Deletions,Insertions,Hits,Total_Words_in_Reference,Total_Files_Matched
large-v3,0.6059743954480796,0.5454545454545454,0.7254710178865897,660,384,234,1065,2109,25
parakeet-tdt-0.6b-v2,0.7927927927927928,0.7090754877014419,0.8716127550238143,803,620,249,686,2109,25
canary-1b,0.9070649596965387,0.6943738656987296,0.8674443163070094,1048,219,646,842,2109,25
wav2vec-xls-r,0.9677572309151257,0.8971428571428571,0.98613827247879,1473,402,166,234,2109,25
