Model,WER,MER,WIL,Substitutions,Deletions,Insertions,Hits,Total_Words_in_Reference,Total_Files_Matched
large-v3,0.6303751143641354,0.5114121358322509,0.685626096934352,1394,345,1017,2633,4372,50
parakeet-tdt-0.6b-v2,0.7412797412797413,0.6086874051593323,0.8039230510311484,2008,258,943,2063,4329,49
wav2vec-xls-r,0.9837602927721867,0.8147376397044895,0.9565750433939026,3153,241,907,978,4372,50
canary-1b,1.143412625800549,0.7426831080077254,0.8910016590520803,2204,436,2359,1732,4372,50
