Model,WER,MER,WIL,Substitutions,Deletions,Insertions,Hits,Total_Words_in_Reference,Total_Files_Matched
large-v3,0.5459694989106754,0.5048348106365834,0.6871938086599236,688,378,187,1229,2295,9
parakeet-tdt-0.6b-v2,0.7372549019607844,0.6962962962962963,0.8545847750865052,759,798,135,738,2295,9
canary-1b,0.8178649237472767,0.7811069496462755,0.9266691050575407,1010,759,108,526,2295,9
wav2vec-xls-r,0.901525054466231,0.87892948173322,0.9829681632036837,1734,276,59,285,2295,9
