Model,WER,MER,WIL,Substitutions,Deletions,Insertions,Hits,Total_Words_in_Reference,Total_Files_Matched
large-v3,0.6849514563106797,0.508010801080108,0.6580659707089833,1134,253,1435,2733,4120,50
parakeet-tdt-0.6b-v2,0.7754854368932039,0.6085714285714285,0.7990184180468304,1915,150,1130,2055,4120,50
wav2vec-xls-r,0.8444174757281553,0.6984541256775748,0.8850842001242881,2402,216,861,1502,4120,50
canary-1b,1.0827669902912622,0.7838692672641012,0.9253033486850941,2115,775,1571,1230,4120,50
