relative_path,duration_s,sample_rate_hz,channels,bit_depth,file_size_kb
202412011827-79373-14744/202412011827-79373-14744_call_3.wav,63.52,16000,1,32,3969.86
202412011827-79373-14744/202412011827-79373-14744_call_4.wav,67.32,16000,1,32,4207.75
202412011757-965821-14744/202412011757-965821-14744_call_5.wav,72.80,16000,1,32,4549.84
202412011757-965821-14744/202412011757-965821-14744_call_7.wav,60.09,16000,1,32,3755.91
202412011757-965821-14744/202412011757-965821-14744_call_11.wav,90.75,16000,1,32,5671.76
202412011757-965821-14744/202412011757-965821-14744_call_13.wav,184.38,16000,1,32,11523.50
202412011628-752619-14744/202412011628-752619-14744_call_3.wav,97.98,16000,1,32,6123.82
202412011628-752619-14744/202412011628-752619-14744_call_5.wav,126.04,16000,1,32,7877.80
202412011458-971661-14744/202412011458-971661-14744_call_3.wav,76.35,16000,1,32,4771.92
202412011329-642550-14744/202412011329-642550-14744_call_1.wav,69.57,16000,1,32,4347.94
202412011329-642550-14744/202412011329-642550-14744_call_6.wav,72.89,16000,1,32,4555.87
202412011259-954439-14744/202412011259-954439-14744_call_11.wav,69.57,16000,1,32,4347.94
202412011129-706765-14744/202412011129-706765-14744_call_4.wav,139.00,16000,1,32,8687.72
202412010731-280830-14744/202412010731-280830-14744_call_1.wav,97.28,16000,1,32,6079.77
202412010701-875456-14744/202412010701-875456-14744_call_6.wav,62.30,16000,1,32,3893.86
202412010631-989125-14744/202412010631-989125-14744_call_2.wav,100.38,16000,1,32,6273.79
202412010631-989125-14744/202412010631-989125-14744_call_7.wav,137.47,16000,1,32,8591.78
202412010133-841696-14744/202412010133-841696-14744_call_2.wav,66.78,16000,1,32,4173.89
202412010103-352910-14744/202412010103-352910-14744_call_1.wav,76.03,16000,1,32,4751.84
202412010103-352910-14744/202412010103-352910-14744_call_17.wav,63.71,16000,1,32,3981.93
202412010103-352910-14744/202412010103-352910-14744_call_18.wav,66.85,16000,1,32,4177.91
202412010033-478455-14744/202412010033-478455-14744_call_16.wav,95.49,16000,1,32,5967.90
202412010033-478455-14744/202412010033-478455-14744_call_17.wav,76.03,16000,1,32,4751.85
202412010003-151569-14744/202412010003-151569-14744_call_8.wav,73.15,16000,1,32,4571.88
202412022118-596624-14744/202412022118-596624-14744_call_3.wav,72.35,16000,1,32,4521.87
202412021948-545512-14744/202412021948-545512-14744_call_8.wav,82.69,16000,1,32,5167.87
202412021948-545512-14744/202412021948-545512-14744_call_15.wav,60.48,16000,1,32,3779.86
